Species,Resprouting ability,Leaf form,Vegetation,Biome,MAT,MAP,AI,P50 (–MPa),Wood density (mg mm–3),SLA (mm2 mg-1),Mean individual leaf size (cm2) (per 40 cm branch length),HV (×10–4),P88 (–MPa)
Hakea archaeoides ,Resprouter ,Broadleaved ,Forest ,Humid ,16.82 ,1404 ,0.96 ,4.27  ± 0.07,2.30  ± 0.20,2.35  ± 0.33,440.74  ± 40.3,3.56  ± 0.7,NA
Hakea bakeriana ,Resprouter ,Terete ,Forest ,Humid ,16.64 ,1123.7 ,0.73 ,5.16  ± 0.27,1.54  ± 0.09,2.14  ± 0.02,251.35  ± 6.9,3.36  ± 0.25,NA
Hakea bucculenta ,Non-sprouter ,Broad-leaved ,Mediterranean ,Arid ,19.56 ,430.9 ,0.16 ,7.51  ± 0.04,1.19 ± 0.08,2.31 ± 0.4,124.02 ± 8.4,6.66 ± 0.28,NA
Hakea cristata ,Resprouter ,Broad-leaved ,Mediterranean ,Arid ,16.66 ,826.5 ,0.41 ,6.44  ± 0.06,2.56  ± 0.13,3.29  ± 0.41,789.29  ± 79.9,2.23 ± 0.11,NA
Hakea dactyloides ,Non-sprouter ,Broad-leaved ,Forest ,Humid ,15.24 ,1033.6 ,0.76 ,4.88  ± 0.03,1.78  ± 0.13,6.14  ± 0.39,145.56  ± 7.8,3.43  ± 0.46,NA
Hakea eyreana ,Resprouter ,Terete ,Arid ,Arid ,22.12 ,217.6 ,0.08 ,5.07 ± 0.06,1.23  ± 0.09,1.22  ± 0.05,242.81  ± 15.9,5.86  ± 0.42,NA
Hakea francisiana ,Non-sprouter ,Broad-leaved ,Mediterranean ,Arid ,18.09 ,303.3 ,0.13 ,7.73  ± 0.1,1.53  ± 0.14,2.28  ± 0.17,162.72  ± 13.6,3.82  ± 0.43,NA
Hakea gibbosa ,Non-sprouter ,Terete ,Forest ,Humid ,16.38 ,1202.1 ,0.82 ,5.44  ± 0.09,1.42  ± 0.18,2.30  ± 0.05,129.17  ± 9.5,2.74  ± 0.43,NA
Hakea grammatophylla ,Resprouter ,Broad-leaved ,Arid ,Arid ,20.53 ,330.9 ,0.13 ,7.99  ± 0.04,3.67  ± 0.25,5.95  ± 1.45,505.20  ± 39.8,2.14  ± 0.06,NA
Hakea ivoryi ,Resprouter ,Terete ,Grassland ,Arid ,20.38 ,361.9 ,0.14 ,6.80  ± 0.04,1.41  ± 0.03,1.69  ± 0.07,176.21  ± 6.6,5.78  ± 0.23,NA
Hakea leucoptera ,Resprouter ,Terete ,Arid ,Arid ,19.41 ,294.9 ,0.13 ,6.78 ± 0.02,5.12  ± 0.54,0.60  ± 0.03,32.18  ± 99.9,20.89  ± 1.91,NA
Hakea macraeana ,Non-sprouter ,Terete ,Forest ,Humid ,13.61 ,970.2 ,0.8 ,6.65  ± 0.07,1.80  ± 0.18,2.70  ± 0.21,241.59  ± 25.1,1.62  ± 0.08,NA
Hakea microcarpa ,Non-sprouter ,Terete ,Forest ,Humid ,11.58 ,1015.4 ,0.85 ,5.44  ± 0.02,3.08  ± 0.25,2.17  ± 0.08,62.57  ± 4.4,2.52  ± 0.25,NA
Hakea salicifolia ,Non-sprouter ,Broad-leaved ,Forest ,Humid ,15.39 ,1191.8 ,0.81 ,4.37  ± 0.19,1.27  ± 0.05,4.88  ± 0.22,298.57  ± 31.5,2.33  ± 0.08,NA
Hakea tephrospermum ,Resprouter ,Terete ,Grassland ,Arid ,17.44 ,424.2 ,0.2 ,7.50 ± 0.04,1.34  ± 0.05,2.65  ± 0.2,96.99  ± 6.6,8.51  ± 0.14,NA
Hakea trifurcata ,Non-sprouter ,Terete ,Mediterranean ,Arid ,17.03 ,588.4 ,0.33,5.91 ± 0.11,2.19 ± 0.07,3.06  ± 0.15,103.78  ± 5.4,5.09  ± 0.17,NA
